hjd,phase,baseline_flux,model_flux,model_normalized_flux
2455153.9127198914,-0.0149665570,1.0011954706,0.9961416451,0.9949522090
2455153.9127561739,-0.0149533950,1.0011939616,0.9961217552,0.9949338424
2455153.9127924559,-0.0149402331,1.0011924526,0.9961018678,0.9949154783
2455153.9128287383,-0.0149270711,1.0011909435,0.9960819827,0.9948971164
2455153.9128650203,-0.0149139092,1.0011894345,0.9960621003,0.9948787572
2455153.9129013028,-0.0149007472,1.0011879255,0.9960422205,0.9948604005
2455153.9129375848,-0.0148875853,1.0011864165,0.9960223439,0.9948420469
2455153.9129738673,-0.0148744233,1.0011849075,0.9960024700,0.9948236960
2455153.9130101493,-0.0148612614,1.0011833985,0.9959825997,0.9948053486
2455153.9130464317,-0.0148480994,1.0011818894,0.9959627325,0.9947870042
2455153.9130827137,-0.0148349375,1.0011803804,0.9959428690,0.9947686636
2455153.9131189962,-0.0148217755,1.0011788714,0.9959230090,0.9947503263
2455153.9131552782,-0.0148086136,1.0011773624,0.9959031531,0.9947319931
2455153.9131915607,-0.0147954516,1.0011758534,0.9958833010,0.9947136636
2455153.9132278427,-0.0147822897,1.0011743444,0.9958634532,0.9946953384
2455153.9132641251,-0.0147691277,1.0011728353,0.9958436095,0.9946770172
2455153.9133004071,-0.0147559658,1.0011713263,0.9958237705,0.9946587006
2455153.9133366896,-0.0147428038,1.0011698173,0.9958039359,0.9946403884
2455153.9133729716,-0.0147296419,1.0011683083,0.9957841063,0.9946220811
2455153.9134092540,-0.0147164799,1.0011667993,0.9957642814,0.9946037784
2455153.9134455360,-0.0147033180,1.0011652903,0.9957444617,0.9945854810
2455153.9134818185,-0.0146901560,1.0011637812,0.9957246471,0.9945671885
2455153.9135181005,-0.0146769941,1.0011622722,0.9957048381,0.9945489015
2455153.9135543830,-0.0146638321,1.0011607632,0.9956850343,0.9945306198
2455153.9135906650,-0.0146506702,1.0011592542,0.9956652365,0.9945123439
2455153.9136269474,-0.0146375082,1.0011577452,0.9956454443,0.9944940735
2455153.9136632294,-0.0146243463,1.0011562362,0.9956256582,0.9944758093
2455153.9136995119,-0.0146111843,1.0011547271,0.9956058781,0.9944575510
2455153.9137357939,-0.0145980224,1.0011532181,0.9955861045,0.9944392991
2455153.9137720764,-0.0145848604,1.0011517091,0.9955663371,0.9944210533
