2455167.8433412  0.00051 0.00152
2455167.8437925 -0.00188 0.00151
2455167.8442207  0.00381 0.00152
2455167.8446952  0.00329 0.00153
2455167.8451234  0.00135 0.00153
2455167.8455516  0.00017 0.00152
2455167.8459798 -0.00075 0.00152
2455167.8464312  0.00082 0.00153
2455167.8468594 -0.00049 0.00154
2455167.8473107  0.00113 0.00153
2455167.8477389 -0.00045 0.00153
2455167.8481671 -0.00266 0.00153
2455167.8485953 -0.00018 0.00153
2455167.8490351  0.00370 0.00153
2455167.8494633 -0.00269 0.00153
2455167.8498915  0.00184 0.00152
2455167.8503428 -0.00001 0.00153
2455167.8507710 -0.00218 0.00154
2455167.8512224 -0.00119 0.00153
